movie_id,movie_title,genre_id,genre_name,avg_rating,num_ratings,percentile
tt19886242,Rorschach,5,Action,7.0,5615,0.2893454776530396
tt0026071,Anna Karenina,8,Drama,7.0,5615,0.38513867085295656
tt0067810,Sweet Sweetback's Baadasssss Song,12,Crime,5.5,5616,0.3201774871555348
tt0067810,Sweet Sweetback's Baadasssss Song,5,Action,5.5,5616,0.28955729718280027
tt0067810,Sweet Sweetback's Baadasssss Song,8,Drama,5.5,5616,0.38521342602975256
tt0026663,Mad Love,19,Horror,7.2,5616,0.38365194462755436
tt0026663,Mad Love,1,Romance,7.2,5616,0.3975200583515682
tt3043252,Parched,8,Drama,7.5,5619,0.38528818120654856
tt0091934,Shanghai Surprise,10,Comedy,3.2,5620,0.3416699231470627
tt0077305,The Cat from Outer Space,10,Comedy,6.0,5620,0.3416699231470627
tt0091934,Shanghai Surprise,12,Crime,3.2,5620,0.32041102288650164
tt0091934,Shanghai Surprise,6,Adventure,3.2,5620,0.29158512720156554
tt1790869,In Their Skin,16,Thriller,5.3,5621,0.3523680649526387
tt1790869,In Their Skin,19,Horror,5.3,5621,0.3839815425181279
tt1039652,The Zone,16,Thriller,7.0,5622,0.352638700947226
tt11286210,Master,18,Mystery,5.3,5622,0.3347222222222222
tt11286210,Master,19,Horror,5.3,5622,0.3843111404087014
tt11286210,Master,8,Drama,5.3,5622,0.38536293638334457
tt1039652,The Zone,8,Drama,7.0,5622,0.38536293638334457
tt2908228,My Little Pony: Equestria Girls,10,Comedy,6.2,5622,0.3419304415787417
tt0045162,The Snows of Kilimanjaro,6,Adventure,6.1,5624,0.29191128506197
tt0045162,The Snows of Kilimanjaro,8,Drama,6.1,5624,0.3855124467369365
tt0045162,The Snows of Kilimanjaro,1,Romance,6.1,5624,0.3977631898857282
tt14412446,Moloch,18,Mystery,6.0,5624,0.3351851851851852
tt14412446,Moloch,19,Horror,6.0,5624,0.38464073829927486
tt0476643,The Bubble,1,Romance,7.3,5625,0.3980063214198882
tt1992258,Tower Block,16,Thriller,5.9,5625,0.35290933694181326
tt1846487,Reality,10,Comedy,6.8,5625,0.34206070079458123
tt0284491,No News from God,8,Drama,6.4,5625,0.3855872019137325
tt1846487,Reality,8,Drama,6.8,5625,0.3855872019137325
tt0284491,No News from God,12,Crime,6.4,5625,0.3206445586174685
tt0476643,The Bubble,8,Drama,7.3,5625,0.3855872019137325
tt0048037,The Criminal Life of Archibaldo de la Cruz,8,Drama,7.6,5625,0.3855872019137325
tt0048037,The Criminal Life of Archibaldo de la Cruz,12,Crime,7.6,5625,0.3206445586174685
tt0476643,The Bubble,10,Comedy,7.3,5625,0.34206070079458123
tt0048037,The Criminal Life of Archibaldo de la Cruz,10,Comedy,7.6,5625,0.34206070079458123
tt0068326,Butterflies Are Free,8,Drama,7.2,5626,0.3858862226209165
tt0068326,Butterflies Are Free,10,Comedy,7.2,5626,0.3424514784420998
tt0281924,I Am Dina,8,Drama,6.5,5628,0.3859609777977125
tt0478049,The U.S. vs. John Lennon,7,Biography,7.3,5629,0.32053072625698326
tt0445953,Disgrace,8,Drama,6.5,5629,0.3860357329745085
tt4428398,Paws of Fury: The Legend of Hank,5,Action,5.7,5629,0.2897691167125609
tt4428398,Paws of Fury: The Legend of Hank,10,Comedy,5.7,5629,0.3425817376579393
tt0234137,Love & Sex,10,Comedy,6.1,5631,0.34271199687377885
tt0234137,Love & Sex,8,Drama,6.1,5631,0.3861104881513045
tt0234137,Love & Sex,1,Romance,6.1,5631,0.3982494529540481
tt3563156,Anjaan,16,Thriller,5.2,5632,0.3531799729364005
tt3540136,Wolf Warrior,16,Thriller,5.3,5632,0.3531799729364005
tt3540136,Wolf Warrior,5,Action,5.3,5632,0.2899809362423215
tt3563156,Anjaan,12,Crime,5.2,5632,0.32111163007940213
tt3540136,Wolf Warrior,12,Crime,5.3,5632,0.32111163007940213
tt3563156,Anjaan,5,Action,5.2,5632,0.2899809362423215
tt0403407,Perfect Creature,8,Drama,5.4,5634,0.38618524332810045
tt3967878,Illang: The Wolf Brigade,8,Drama,5.9,5634,0.38618524332810045
tt0403407,Perfect Creature,5,Action,5.4,5634,0.2904045753018428
tt0065566,The Computer Wore Tennis Shoes,10,Comedy,5.9,5634,0.3428422560896183
